Name,Docs URL,Number of pages,Example URL,Rendering apps,Navigation document type,Content purpose,User journey,Search user need,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
aaib_report,https://docs.publishing.service.gov.uk/document-types/aaib_report.html,10821,https://www.gov.uk/aaib-reports/aaib-investigation-to-cessna-citation-cj1-n680kh,government-frontend,other,reports,thing,government,other,other,incidents,transparency
about,https://docs.publishing.service.gov.uk/document-types/about.html,350,https://www.gov.uk/government/organisations/disclosure-and-barring-service/about,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
about_our_services,https://docs.publishing.service.gov.uk/document-types/about_our_services.html,55,https://www.gov.uk/government/organisations/companies-house/about-our-services,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
access_and_opening,https://docs.publishing.service.gov.uk/document-types/access_and_opening.html,18,https://www.gov.uk/government/organisations/companies-house/about/access-and-opening,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
accessible_documents_policy,https://docs.publishing.service.gov.uk/document-types/accessible_documents_policy.html,93,https://www.gov.uk/government/organisations/home-office/about/accessible-documents-policy,"",other,other,thing,government,other,other,other,other
ambassador_role,https://docs.publishing.service.gov.uk/document-types/ambassador_role.html,0,,"",other,other,thing,government,other,other,other,other
answer,https://docs.publishing.service.gov.uk/document-types/answer.html,761,https://www.gov.uk/find-coronavirus-local-restrictions,government-frontend,guidance,guidance,thing,core,other,other,transactions,services
asylum_support_decision,https://docs.publishing.service.gov.uk/document-types/asylum_support_decision.html,96,https://www.gov.uk/asylum-support-tribunal-decisions/pa-and-ma-v-secretary-of-state-for-the-home-department-as-20-09-42386-and-as-20-09-42397,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
authored_article,https://docs.publishing.service.gov.uk/document-types/authored_article.html,456,https://www.gov.uk/government/speeches/exams-and-assessments-in-the-months-ahead,government-frontend,other,speeches-and-statements,thing,government,announcements,statements,speeches_and_statements,news_and_communications
board_member_role,https://docs.publishing.service.gov.uk/document-types/board_member_role.html,0,,"",other,other,thing,government,other,other,other,other
business_finance_support_scheme,https://docs.publishing.service.gov.uk/document-types/business_finance_support_scheme.html,173,https://www.gov.uk/business-finance-support/bcrs-business-loans-west-midlands,government-frontend,other,grants-and-funding,thing,government,other,other,business_support,guidance_and_regulation
calculator,https://docs.publishing.service.gov.uk/document-types/calculator.html,0,,calculators,other,transactions,thing,government,other,other,transactions,services
calendar,https://docs.publishing.service.gov.uk/document-types/calendar.html,2,https://www.gov.uk/bank-holidays,frontend,other,guidance,thing,government,other,other,guidance,guidance_and_regulation
case_study,https://docs.publishing.service.gov.uk/document-types/case_study.html,1827,https://www.gov.uk/government/case-studies/tax-avoidance-dont-get-caught-out,government-frontend,other,news,thing,government,other,other,news,news_and_communications
chief_professional_officer_role,https://docs.publishing.service.gov.uk/document-types/chief_professional_officer_role.html,0,,"",other,other,thing,government,other,other,other,other
chief_scientific_advisor_role,https://docs.publishing.service.gov.uk/document-types/chief_scientific_advisor_role.html,0,,"",other,other,thing,government,other,other,other,other
chief_scientific_officer_role,https://docs.publishing.service.gov.uk/document-types/chief_scientific_officer_role.html,0,,"",other,other,thing,government,other,other,other,other
closed_consultation,https://docs.publishing.service.gov.uk/document-types/closed_consultation.html,897,https://www.gov.uk/government/consultations/independent-faith-engagement-review-call-for-evidence,government-frontend,other,engagement-activities,thing,government,publications,consultations,consultations,policy_and_engagement
cma_case,https://docs.publishing.service.gov.uk/document-types/cma_case.html,2104,https://www.gov.uk/cma-cases/electric-vehicle-charging-market-study,government-frontend,other,engagement-activities,thing,government,other,other,decisions,news_and_communications
coming_soon,https://docs.publishing.service.gov.uk/document-types/coming_soon.html,0,,"whitehall-frontend, government-frontend",other,other,thing,government,other,other,other,other
complaints_procedure,https://docs.publishing.service.gov.uk/document-types/complaints_procedure.html,123,https://www.gov.uk/government/organisations/department-for-work-pensions/about/complaints-procedure,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
completed_transaction,https://docs.publishing.service.gov.uk/document-types/completed_transaction.html,0,,frontend,other,transactions,thing,government,other,other,transactions,services
consultation,https://docs.publishing.service.gov.uk/document-types/consultation.html,0,,"",other,engagement-activities,thing,government,publications,consultations,other,other
consultation_outcome,https://docs.publishing.service.gov.uk/document-types/consultation_outcome.html,4419,https://www.gov.uk/government/consultations/a-consultation-on-the-reform-to-retail-prices-index-rpi-methodology,government-frontend,other,reports,thing,government,publications,consultations,consultations,policy_and_engagement
contact,https://docs.publishing.service.gov.uk/document-types/contact.html,142,https://www.gov.uk/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,government-frontend,guidance,contacts,thing,government,other,other,other,other
coronavirus_landing_page,https://docs.publishing.service.gov.uk/document-types/coronavirus_landing_page.html,4,https://www.gov.uk/coronavirus,"",other,other,thing,government,other,other,other,other
corporate_report,https://docs.publishing.service.gov.uk/document-types/corporate_report.html,11851,https://www.gov.uk/government/publications/ofsted-annual-report-201920-education-childrens-services-and-skills,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,publications,corporate-reports,transparency_data,transparency
correspondence,https://docs.publishing.service.gov.uk/document-types/correspondence.html,5386,https://www.gov.uk/government/publications/guidance-to-parents-and-guardians-when-you-should-book-a-coronavirus-test-for-your-child,government-frontend,other,news,thing,government,publications,correspondence,speeches_and_statements,news_and_communications
countryside_stewardship_grant,https://docs.publishing.service.gov.uk/document-types/countryside_stewardship_grant.html,244,https://www.gov.uk/countryside-stewardship-grants/permanent-grassland-with-very-low-inputs-outside-sdas-gs2,government-frontend,other,grants-and-funding,thing,government,other,other,business_support,guidance_and_regulation
decision,https://docs.publishing.service.gov.uk/document-types/decision.html,6706,https://www.gov.uk/government/publications/regulatory-approval-of-pfizer-biontech-vaccine-for-covid-19,"government-frontend, whitehall-frontend",other,decisions,thing,government,publications,decisions,decisions,news_and_communications
deputy_head_of_mission_role,https://docs.publishing.service.gov.uk/document-types/deputy_head_of_mission_role.html,0,,"",other,other,thing,government,other,other,other,other
detailed_guidance,https://docs.publishing.service.gov.uk/document-types/detailed_guidance.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
detailed_guide,https://docs.publishing.service.gov.uk/document-types/detailed_guide.html,6940,https://www.gov.uk/guidance/local-restriction-tiers-what-you-need-to-know,"government-frontend, whitehall-frontend",guidance,guidance,thing,government,other,other,guidance,guidance_and_regulation
dfid_research_output,https://docs.publishing.service.gov.uk/document-types/dfid_research_output.html,0,,government-frontend,other,decisions,thing,government,other,other,research,research_and_statistics
document_collection,https://docs.publishing.service.gov.uk/document-types/document_collection.html,4689,https://www.gov.uk/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,"government-frontend, whitehall-frontend",guidance,navigation,finding,government,other,other,other,other
drug_safety_update,https://docs.publishing.service.gov.uk/document-types/drug_safety_update.html,667,https://www.gov.uk/drug-safety-update/quinine-not-to-be-used-routinely-for-nocturnal-leg-cramps,government-frontend,other,updates-and-alerts,thing,government,other,other,updates_and_alerts,news_and_communications
email_alert_signup,https://docs.publishing.service.gov.uk/document-types/email_alert_signup.html,0,,email-alert-frontend,other,other,thing,government,other,other,other,other
employment_appeal_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/employment_appeal_tribunal_decision.html,1554,https://www.gov.uk/employment-appeal-tribunal-decisions/ms-s-omooba-v-1-michael-garrett-associates-ltd-2-leicester-theatre-trust-ltd-ukeatpa-0521-20-da,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
employment_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/employment_tribunal_decision.html,70325,https://www.gov.uk/employment-tribunal-decisions/ms-r-taylor-v-jaguar-land-rover-ltd-1304471-2018,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
equality_and_diversity,https://docs.publishing.service.gov.uk/document-types/equality_and_diversity.html,47,https://www.gov.uk/government/organisations/ministry-of-justice/about/equality-and-diversity,government-frontend,other,corporate-info,thing,government,other,other,other,other
esi_fund,https://docs.publishing.service.gov.uk/document-types/esi_fund.html,1378,https://www.gov.uk/european-structural-investment-funds/skills-for-growth-project-call-in-cornwall-and-isles-of-scilly-lep-area-oc05s20p1789,government-frontend,other,grants-and-funding,thing,government,other,other,business_support,guidance_and_regulation
export_health_certificate,https://docs.publishing.service.gov.uk/document-types/export_health_certificate.html,1893,https://www.gov.uk/export-health-certificates/export-composite-food-products-intended-for-human-consumption-to-the-european-union-certificate-8281,government-frontend,other,other,thing,government,other,other,other,other
external_content,https://docs.publishing.service.gov.uk/document-types/external_content.html,524,https://www.gov.ukhttp://www.rbkc.gov.uk/,"",other,other,thing,government,other,other,other,other
facet,https://docs.publishing.service.gov.uk/document-types/facet.html,0,,"",other,other,thing,government,other,other,other,other
facet_group,https://docs.publishing.service.gov.uk/document-types/facet_group.html,0,,"",other,other,thing,government,other,other,other,other
facet_value,https://docs.publishing.service.gov.uk/document-types/facet_value.html,0,,"",other,other,thing,government,other,other,other,other
fatality_notice,https://docs.publishing.service.gov.uk/document-types/fatality_notice.html,505,https://www.gov.uk/government/fatalities/serjeant-paul-mcaleese-and-private-johnathon-young-killed-in-afghanistan,government-frontend,other,updates-and-alerts,thing,government,announcements,fatality-notices,news,news_and_communications
field_of_operation,https://docs.publishing.service.gov.uk/document-types/field_of_operation.html,0,,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
finder,https://docs.publishing.service.gov.uk/document-types/finder.html,44,https://www.gov.uk/search/all,"finder-frontend, whitehall-frontend, collections",other,navigation,finding,government,other,other,other,other
finder_email_signup,https://docs.publishing.service.gov.uk/document-types/finder_email_signup.html,0,,finder-frontend,other,other,thing,government,other,other,other,other
flood_and_coastal_erosion_risk_management_research_report,https://docs.publishing.service.gov.uk/document-types/flood_and_coastal_erosion_risk_management_research_report.html,0,,"",other,other,thing,government,other,other,other,other
foi_release,https://docs.publishing.service.gov.uk/document-types/foi_release.html,10987,https://www.gov.uk/government/publications/grade-and-salary-bands,government-frontend,other,data,thing,government,publications,foi-releases,freedom_of_information_releases,transparency
form,https://docs.publishing.service.gov.uk/document-types/form.html,4961,https://www.gov.uk/government/publications/application-for-a-vehicle-registration-certificate,"government-frontend, whitehall-frontend",guidance,transactions,thing,government,publications,forms,transactions,services
get_involved,https://docs.publishing.service.gov.uk/document-types/get_involved.html,0,,"",other,other,thing,government,other,other,other,other
gone,https://docs.publishing.service.gov.uk/document-types/gone.html,0,,"",other,other,thing,government,other,other,other,other
government,https://docs.publishing.service.gov.uk/document-types/government.html,0,,"",other,other,thing,government,other,other,other,other
government_response,https://docs.publishing.service.gov.uk/document-types/government_response.html,530,https://www.gov.uk/government/news/relationships-education-relationships-and-sex-education-rse-and-health-education-faqs,government-frontend,other,decisions,thing,government,announcements,government-responses,speeches_and_statements,news_and_communications
governor_role,https://docs.publishing.service.gov.uk/document-types/governor_role.html,0,,"",other,other,thing,government,other,other,other,other
guidance,https://docs.publishing.service.gov.uk/document-types/guidance.html,20784,https://www.gov.uk/government/publications/covid-19-winter-plan,"government-frontend, whitehall-frontend",guidance,guidance,thing,government,publications,guidance,guidance,guidance_and_regulation
guide,https://docs.publishing.service.gov.uk/document-types/guide.html,800,https://www.gov.uk/log-in-register-hmrc-online-services,government-frontend,guidance,guidance,thing,core,other,other,transactions,services
help_page,https://docs.publishing.service.gov.uk/document-types/help_page.html,10,https://www.gov.uk/help/update-email-notifications,government-frontend,other,corporate-info,thing,government,other,other,other,other
high_commissioner_role,https://docs.publishing.service.gov.uk/document-types/high_commissioner_role.html,0,,"",other,other,thing,government,other,other,other,other
history,https://docs.publishing.service.gov.uk/document-types/history.html,6,https://www.gov.uk/government/history/10-downing-street,"",other,other,thing,government,other,other,other,other
hmrc_manual,https://docs.publishing.service.gov.uk/document-types/hmrc_manual.html,223,https://www.gov.uk/hmrc-internal-manuals/capital-gains-manual,manuals-frontend,other,guidance,thing,government,other,other,guidance,guidance_and_regulation
hmrc_manual_section,https://docs.publishing.service.gov.uk/document-types/hmrc_manual_section.html,79214,https://www.gov.uk/hmrc-internal-manuals/enquiry-manual/em3058,manuals-frontend,other,guidance,thing,government,other,other,other,other
homepage,https://docs.publishing.service.gov.uk/document-types/homepage.html,0,,frontend,other,navigation,finding,government,other,other,other,other
html_publication,https://docs.publishing.service.gov.uk/document-types/html_publication.html,0,,"government-frontend, whitehall-frontend",other,guidance,thing,government,other,other,other,other
impact_assessment,https://docs.publishing.service.gov.uk/document-types/impact_assessment.html,1085,https://www.gov.uk/government/publications/equality-impact-assessment-of-the-points-based-immigration-system,government-frontend,other,reports,thing,government,publications,impact-assessments,policy,policy_and_engagement
imported,https://docs.publishing.service.gov.uk/document-types/imported.html,0,,"",other,other,thing,government,other,other,other,other
independent_report,https://docs.publishing.service.gov.uk/document-types/independent_report.html,3016,https://www.gov.uk/government/publications/priority-groups-for-coronavirus-covid-19-vaccination-advice-from-the-jcvi-2-december-2020,"government-frontend, whitehall-frontend",other,reports,thing,government,publications,independent-reports,research,research_and_statistics
international_development_fund,https://docs.publishing.service.gov.uk/document-types/international_development_fund.html,51,https://www.gov.uk/international-development-funding/nihr-global-health-research-centres-research-and-innovation,government-frontend,other,grants-and-funding,thing,government,other,other,business_support,guidance_and_regulation
international_treaty,https://docs.publishing.service.gov.uk/document-types/international_treaty.html,1123,https://www.gov.uk/government/publications/usa-tax-treaties,"government-frontend, whitehall-frontend",other,decisions,thing,government,publications,international-treaties,guidance,guidance_and_regulation
knowledge_alpha,https://docs.publishing.service.gov.uk/document-types/knowledge_alpha.html,0,,frontend,other,other,thing,government,other,other,other,other
licence,https://docs.publishing.service.gov.uk/document-types/licence.html,428,https://www.gov.uk/tv-licence,frontend,guidance,transactions,thing,government,other,other,transactions,services
license_finder,https://docs.publishing.service.gov.uk/document-types/license_finder.html,0,,licencefinder,other,other,finding,government,other,other,other,other
local_transaction,https://docs.publishing.service.gov.uk/document-types/local_transaction.html,132,https://www.gov.uk/coronavirus-local-help,frontend,guidance,transactions,thing,core,other,other,transactions,services
maib_report,https://docs.publishing.service.gov.uk/document-types/maib_report.html,970,https://www.gov.uk/maib-reports/crush-incident-on-general-cargo-vessel-karina-c-with-loss-of-1-life,government-frontend,other,reports,thing,government,other,other,incidents,transparency
mainstream_browse_page,https://docs.publishing.service.gov.uk/document-types/mainstream_browse_page.html,151,https://www.gov.uk/browse/benefits,collections,other,navigation,finding,government,other,other,other,other
manual,https://docs.publishing.service.gov.uk/document-types/manual.html,118,https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19,manuals-frontend,guidance,guidance,thing,government,other,other,guidance,guidance_and_regulation
manual_section,https://docs.publishing.service.gov.uk/document-types/manual_section.html,2063,https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/close-contact-services,manuals-frontend,other,guidance,thing,government,other,other,guidance,guidance_and_regulation
map,https://docs.publishing.service.gov.uk/document-types/map.html,421,https://www.gov.uk/government/publications/roads-managed-by-highways-england,government-frontend,guidance,resources,thing,government,publications,maps,guidance,guidance_and_regulation
marine_notice,https://docs.publishing.service.gov.uk/document-types/marine_notice.html,0,,"",other,other,thing,government,other,other,other,other
media_enquiries,https://docs.publishing.service.gov.uk/document-types/media_enquiries.html,49,https://www.gov.uk/government/organisations/department-of-health-and-social-care/about/media-enquiries,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
medical_safety_alert,https://docs.publishing.service.gov.uk/document-types/medical_safety_alert.html,852,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-kent-pharmaceuticals-ltd-betahistine-dihydrochloride-8mg-and-16mg-tablets-el-20-a-55,government-frontend,other,updates-and-alerts,thing,government,other,other,updates_and_alerts,news_and_communications
membership,https://docs.publishing.service.gov.uk/document-types/membership.html,38,https://www.gov.uk/government/organisations/commission-on-human-medicines/about/membership,government-frontend,other,corporate-info,thing,government,other,other,other,other
military_role,https://docs.publishing.service.gov.uk/document-types/military_role.html,0,,"",other,other,thing,government,other,other,other,other
ministerial_role,https://docs.publishing.service.gov.uk/document-types/ministerial_role.html,435,https://www.gov.uk/government/ministers/prime-minister,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
ministers_index,https://docs.publishing.service.gov.uk/document-types/ministers_index.html,0,,"",other,other,thing,government,other,other,other,other
national,https://docs.publishing.service.gov.uk/document-types/national.html,0,,government-frontend,other,other,thing,government,other,other,other,other
